time,key,x,y,z,roll,pitch,yaw,roll_vel,pitch_vel
0.008000,-1,0.000000,0.000000,0.099372,0.000000,-0.000000,3.141591,0.000005,-0.000000
0.016000,-1,-0.000000,0.000000,0.098120,0.000000,0.000000,3.141591,0.000014,0.000000
0.024000,-1,-0.000000,0.000000,0.096247,0.000000,0.000000,3.141591,0.000034,0.000000
0.032000,-1,-0.000000,0.000000,0.093756,0.000001,0.000000,3.141590,0.000063,0.000001
0.040000,-1,-0.000000,0.000000,0.090652,0.000002,0.000000,3.141590,0.000102,0.000002
0.048000,-1,-0.000000,0.000000,0.086937,0.000003,0.000000,3.141589,0.000151,0.000004
0.056000,-1,0.002453,0.000000,0.086798,0.000004,-0.034443,3.141589,0.000185,-4.282047
0.064000,-1,0.004958,-0.000000,0.085986,0.000002,-0.068682,-3.141592,-0.000301,-4.256631
0.072000,-1,0.007514,-0.000001,0.084504,-0.000005,-0.102723,-3.141584,-0.000730,-4.232008
0.080000,-1,0.006038,-0.000001,0.084510,-0.000004,-0.081383,-3.141584,0.000076,2.652867
0.088000,-1,0.005601,-0.000001,0.085535,-0.000004,-0.074646,-3.141585,0.000064,0.837523
0.096000,-1,0.005171,-0.000000,0.085925,-0.000002,-0.067944,-3.141585,0.000176,0.833076
0.104000,-1,0.004747,-0.000000,0.085684,0.000000,-0.061280,-3.141586,0.000303,0.828446
0.112000,-1,0.004902,-0.000000,0.085845,-0.000000,-0.063620,-3.141586,-0.000087,-0.290848
0.120000,-1,0.005199,-0.000000,0.085628,-0.000000,-0.068110,-3.141586,0.000024,-0.558248
0.128000,-1,0.005728,-0.000000,0.085187,0.000000,-0.076104,-3.141586,0.000029,-0.993704
0.136000,-1,0.005498,-0.000000,0.085420,0.000000,-0.072628,-3.141586,0.000033,0.432119
0.144000,-1,0.005457,-0.000000,0.085482,0.000001,-0.072005,-3.141586,0.000017,0.077463
0.152000,-1,0.005427,-0.000000,0.085528,0.000001,-0.071550,-3.141586,0.000015,0.056596
0.160000,-1,0.005403,-0.000000,0.085564,0.000001,-0.071187,-3.141586,0.000012,0.045128
0.168000,-1,0.005384,-0.000000,0.085593,0.000001,-0.070896,-3.141586,0.000010,0.036071
0.176000,-1,0.005368,-0.000000,0.085616,0.000001,-0.070664,-3.141586,0.000008,0.028832
0.184000,-1,0.005356,-0.000000,0.085635,0.000001,-0.070479,-3.141586,0.000007,0.023045
0.192000,-1,0.005347,-0.000000,0.085650,0.000001,-0.070331,-3.141586,0.000005,0.018420
0.200000,-1,0.005339,-0.000000,0.085662,0.000001,-0.070212,-3.141586,0.000004,0.014722
0.208000,-1,0.005333,-0.000000,0.085671,0.000001,-0.070118,-3.141586,0.000003,0.011768
0.216000,-1,0.005328,-0.000000,0.085679,0.000001,-0.070042,-3.141586,0.000003,0.009406
0.224000,-1,0.005324,-0.000000,0.085685,0.000001,-0.069982,-3.141586,0.000002,0.007519
0.232000,-1,0.005320,-0.000000,0.085690,0.000001,-0.069933,-3.141586,0.000002,0.006011
0.240000,-1,0.005318,-0.000000,0.085694,0.000001,-0.069895,-3.141586,0.000002,0.004806
0.248000,-1,0.005316,-0.000000,0.085697,0.000001,-0.069864,-3.141586,0.000001,0.003843
0.256000,-1,0.005314,-0.000000,0.085699,0.000001,-0.069839,-3.141586,0.000001,0.003073
0.264000,-1,0.005313,-0.000000,0.085701,0.000001,-0.069819,-3.141586,0.000001,0.002458
0.272000,-1,0.005312,-0.000000,0.085703,0.000001,-0.069803,-3.141586,0.000001,0.001967
0.280000,-1,0.005311,-0.000000,0.085704,0.000001,-0.069791,-3.141586,0.000001,0.001574
0.288000,-1,0.005310,-0.000000,0.085705,0.000001,-0.069781,-3.141586,0.000001,0.001260
0.296000,-1,0.005310,-0.000000,0.085706,0.000001,-0.069772,-3.141586,0.000000,0.001010
0.304000,-1,0.005309,-0.000000,0.085707,0.000001,-0.069766,-3.141586,0.000000,0.000809
0.312000,-1,0.005309,-0.000000,0.085707,0.000001,-0.069761,-3.141586,0.000000,0.000649
0.320000,-1,0.005309,-0.000000,0.085708,0.000001,-0.069757,-3.141586,0.000000,0.000522
0.328000,-1,0.005309,-0.000000,0.085708,0.000001,-0.069753,-3.141586,0.000000,0.000420
0.336000,-1,0.005308,-0.000000,0.085708,0.000001,-0.069750,-3.141586,0.000000,0.000338
0.344000,-1,0.005308,-0.000000,0.085709,0.000001,-0.069748,-3.141586,0.000000,0.000273
0.352000,-1,0.005308,-0.000000,0.085709,0.000001,-0.069746,-3.141586,0.000000,0.000221
0.360000,-1,0.005308,-0.000000,0.085709,0.000001,-0.069745,-3.141586,0.000000,0.000180
0.368000,-1,0.005308,-0.000000,0.085709,0.000001,-0.069744,-3.141586,0.000000,0.000147
0.376000,-1,0.005308,-0.000000,0.085709,0.000001,-0.069743,-3.141586,0.000000,0.000121
0.384000,-1,0.005308,-0.000000,0.085709,0.000001,-0.069742,-3.141586,0.000000,0.000100
0.392000,-1,0.005308,-0.000000,0.085710,0.000001,-0.069741,-3.141586,0.000000,0.000083
0.400000,-1,0.005308,-0.000000,0.085710,0.000001,-0.069741,-3.141586,0.000000,0.000070
0.408000,-1,0.005308,-0.000000,0.085710,0.000001,-0.069740,-3.141586,0.000000,0.000059
0.416000,-1,0.005308,-0.000000,0.085710,0.000001,-0.069740,-3.141586,0.000000,0.000051
0.424000,-1,0.005308,-0.000000,0.085710,0.000001,-0.069740,-3.141586,0.000000,0.000044
0.432000,-1,0.005308,-0.000000,0.085710,0.000001,-0.069739,-3.141586,0.000000,0.000039
0.440000,-1,0.005308,-0.000000,0.085710,0.000001,-0.069739,-3.141586,0.000000,0.000035
0.448000,-1,0.005308,-0.000000,0.085710,0.000001,-0.069739,-3.141586,0.000000,0.000032
0.456000,-1,0.005308,-0.000000,0.085710,0.000001,-0.069739,-3.141586,0.000000,0.000029
0.464000,-1,0.005308,-0.000000,0.085710,0.000001,-0.069738,-3.141586,0.000000,0.000027
0.472000,-1,0.005308,-0.000000,0.085710,0.000001,-0.069738,-3.141586,0.000000,0.000026
0.480000,-1,0.005308,-0.000000,0.085710,0.000001,-0.069738,-3.141586,0.000000,0.000025
0.488000,-1,0.005308,-0.000000,0.085710,0.000001,-0.069738,-3.141586,0.000000,0.000024
0.496000,-1,0.005308,-0.000000,0.085711,0.000001,-0.069738,-3.141586,0.000000,0.000023
0.504000,-1,0.005308,-0.000000,0.085711,0.000001,-0.069737,-3.141586,0.000000,0.000023
0.512000,-1,0.005307,-0.000000,0.085711,0.000001,-0.069737,-3.141586,0.000000,0.000023
0.520000,-1,0.005307,-0.000000,0.085711,0.000001,-0.069737,-3.141586,0.000000,0.000023
0.528000,-1,0.005307,-0.000000,0.085711,0.000001,-0.069737,-3.141586,0.000000,0.000023
0.536000,-1,0.005307,-0.000000,0.085711,0.000001,-0.069737,-3.141586,0.000000,0.000023
0.544000,-1,0.005307,-0.000000,0.085711,0.000001,-0.069736,-3.141586,0.000000,0.000023
0.552000,-1,0.005307,-0.000000,0.085711,0.000001,-0.069736,-3.141586,0.000000,0.000023
0.560000,-1,0.005307,-0.000000,0.085711,0.000001,-0.069736,-3.141586,0.000000,0.000023
0.568000,-1,0.005307,-0.000000,0.085711,0.000001,-0.069736,-3.141586,0.000000,0.000023
0.576000,-1,0.005307,-0.000000,0.085711,0.000001,-0.069736,-3.141586,0.000000,0.000024
0.584000,-1,0.005307,-0.000000,0.085711,0.000001,-0.069736,-3.141586,0.000000,0.000024
0.592000,-1,0.005307,-0.000000,0.085711,0.000001,-0.069735,-3.141586,0.000000,0.000024
