x,y,z,roll,pitch,yaw
0.000000,0.000000,0.099372,0.000000,-0.000000,3.141591
-0.000000,0.000000,0.098120,0.000000,0.000000,3.141591
-0.000000,0.000000,0.096247,0.000000,0.000000,3.141591
-0.000000,0.000000,0.093756,0.000001,0.000000,3.141590
-0.000000,0.000000,0.090652,0.000002,0.000000,3.141590
-0.000000,0.000000,0.086937,0.000003,0.000000,3.141589
0.002453,0.000000,0.086798,0.000004,-0.034443,3.141589
0.004958,-0.000000,0.085986,0.000002,-0.068682,-3.141592
0.007514,-0.000001,0.084504,-0.000005,-0.102723,-3.141584
0.006038,-0.000001,0.084510,-0.000004,-0.081383,-3.141584
0.005601,-0.000001,0.085535,-0.000004,-0.074646,-3.141585
0.005171,-0.000000,0.085925,-0.000002,-0.067944,-3.141585
0.004747,-0.000000,0.085684,0.000000,-0.061280,-3.141586
0.004902,-0.000000,0.085845,-0.000000,-0.063620,-3.141586
0.005199,-0.000000,0.085628,-0.000000,-0.068110,-3.141586
0.005728,-0.000000,0.085187,0.000000,-0.076104,-3.141586
0.005498,-0.000000,0.085420,0.000000,-0.072628,-3.141586
0.005457,-0.000000,0.085482,0.000001,-0.072005,-3.141586
0.005427,-0.000000,0.085528,0.000001,-0.071550,-3.141586
0.005403,-0.000000,0.085564,0.000001,-0.071187,-3.141586
0.005384,-0.000000,0.085593,0.000001,-0.070896,-3.141586
0.005368,-0.000000,0.085616,0.000001,-0.070664,-3.141586
0.005356,-0.000000,0.085635,0.000001,-0.070479,-3.141586
0.005347,-0.000000,0.085650,0.000001,-0.070331,-3.141586
0.005339,-0.000000,0.085662,0.000001,-0.070212,-3.141586
0.005333,-0.000000,0.085671,0.000001,-0.070118,-3.141586
0.005328,-0.000000,0.085679,0.000001,-0.070042,-3.141586
0.005324,-0.000000,0.085685,0.000001,-0.069982,-3.141586
0.005320,-0.000000,0.085690,0.000001,-0.069933,-3.141586
0.005318,-0.000000,0.085694,0.000001,-0.069895,-3.141586
0.005316,-0.000000,0.085697,0.000001,-0.069864,-3.141586
0.005314,-0.000000,0.085699,0.000001,-0.069839,-3.141586
0.005313,-0.000000,0.085701,0.000001,-0.069819,-3.141586
0.005312,-0.000000,0.085703,0.000001,-0.069803,-3.141586
0.005311,-0.000000,0.085704,0.000001,-0.069791,-3.141586
0.005310,-0.000000,0.085705,0.000001,-0.069781,-3.141586
0.005310,-0.000000,0.085706,0.000001,-0.069772,-3.141586
0.005309,-0.000000,0.085707,0.000001,-0.069766,-3.141586
0.005309,-0.000000,0.085707,0.000001,-0.069761,-3.141586
0.005309,-0.000000,0.085708,0.000001,-0.069757,-3.141586
0.005309,-0.000000,0.085708,0.000001,-0.069753,-3.141586
0.005308,-0.000000,0.085708,0.000001,-0.069750,-3.141586
0.005308,-0.000000,0.085709,0.000001,-0.069748,-3.141586
0.005308,-0.000000,0.085709,0.000001,-0.069746,-3.141586
0.005308,-0.000000,0.085709,0.000001,-0.069745,-3.141586
0.005308,-0.000000,0.085709,0.000001,-0.069744,-3.141586
0.005308,-0.000000,0.085709,0.000001,-0.069743,-3.141586
0.005308,-0.000000,0.085709,0.000001,-0.069742,-3.141586
0.005308,-0.000000,0.085710,0.000001,-0.069741,-3.141586
